id,name,age,signup_date,email,purchase_amount,membership_level,phone
444,David,60,2021/01/05,david@example.com,120.5,silver,2345678
445,Hannah,63,2021-06-10,hannah@example,450.75,,5678901
446,Bob,26,2020/12/31,bob at example dot com,,gold,2345678
447,Charlie,46,2021/01/05,charlie@mail.com,20,gold,4567890
448,Alice,41,2020/12/31,alice@mail.com,20,silver,5678901
449,Alice,55,2020/12/31,alice@mail.com,450.75,Platinum,2345678
450,Charlie,36,2020/12/31,charlie@example.com,75.5,silver,123‑4567
451,Eve,21,,eve@mail.com,75.5,Gold,345‑6789
452,Charlie,,2021-06-10,charlie@example.com,120.5,,345‑6789
453,Alice,46,2021/03/15,alice@example.com,,Gold,345‑6789
454,Alice,65,2021/03/15,alice@example,,gold,5678901
455,Hannah,19,2021/01/05,hannah@mail.com,450.75,,2345678
456,Jack,61,2020/12/31,jack@mail.com,0,silver,
457,Bob,30,2021/01/05,bob at example dot com,20,Gold,
458,Charlie,46,,charlie@example,,Silver,
459,Bob,66,,bob at example dot com,450.75,Platinum,5678901
460,Charlie,20,05-02-2021,charlie@example,300,Platinum,4567890
461,Grace,34,,grace@mail.com,-50,Silver,123‑4567
462,Alice,53,05-02-2021,alice@example.com,300,gold,123‑4567
463,Jack,41,2021-06-10,jack@example.com,200,,345‑6789
464,Hannah,64,2021/01/05,hannah@example.com,120.5,Platinum,345‑6789
465,Jack,,2021-06-10,jack@example.com,,Silver,
466,Jack,69,,jack@example.com,200,silver,
467,Jack,62,2021-06-10,jack at example dot com,200,Silver,345‑6789
468,Bob,31,2021-06-10,bob@example,450.75,gold,2345678
469,Charlie,25,2021-06-10,charlie@mail.com,,gold,4567890
470,Ivan,31,,ivan at example dot com,-50,Gold,4567890
471,Grace,65,2020/12/31,grace@example,450.75,Platinum,4567890
472,David,40,2021-06-10,david@example.com,450.75,Gold,4567890
473,Jack,20,05-02-2021,jack@example,120.5,Silver,345‑6789
474,Eve,28,,eve@example,120.5,,123‑4567
475,Bob,53,2021-06-10,bob@example.com,20,,345‑6789
476,Hannah,53,2020/12/31,hannah@example.com,20,gold,4567890
477,David,59,,david@example.com,75.5,,345‑6789
478,Ivan,22,2021/03/15,ivan@mail.com,0,,4567890
479,Eve,55,2020/12/31,eve@example.com,,,5678901
480,Ivan,62,05-02-2021,ivan@mail.com,,Silver,
481,David,40,2021-06-10,david@example.com,200,,123‑4567
482,Jack,27,2021/03/15,jack@mail.com,,silver,5678901
483,Eve,29,2021/03/15,eve@example,,,2345678
484,Ivan,50,,ivan at example dot com,0,,345‑6789
485,Hannah,41,2021/03/15,hannah@example,20,Gold,2345678
486,Charlie,23,05-02-2021,charlie@example,20,Silver,345‑6789
487,Alice,68,05-02-2021,alice@example.com,-50,gold,
488,Charlie,20,2021/01/05,charlie@mail.com,,Gold,5678901
489,David,24,05-02-2021,david at example dot com,0,Platinum,
490,Bob,36,2020/12/31,bob@example.com,20,Silver,4567890
491,Alice,45,2021/03/15,alice@example.com,0,silver,
492,Grace,69,05-02-2021,grace@example.com,300,Silver,
493,Hannah,67,,hannah@example,,Platinum,4567890
494,Grace,61,2021/01/05,grace@mail.com,-50,Platinum,345‑6789
495,Eve,62,2021/03/15,eve@mail.com,200,Platinum,4567890
496,Alice,26,2021/01/05,alice at example dot com,20,gold,5678901
497,Grace,59,2021/03/15,grace@mail.com,300,,
498,Grace,50,,grace@mail.com,0,Silver,4567890
499,Ivan,42,2021/01/05,ivan@example.com,120.5,,
500,Charlie,57,2021-06-10,charlie@example.com,450.75,,5678901
501,Ivan,65,2020/12/31,ivan@example,,silver,2345678
502,Alice,19,2020/12/31,alice@example.com,,Platinum,5678901
503,Alice,22,2021/03/15,alice@example.com,300,gold,123‑4567
504,David,21,2021-06-10,david@example.com,0,silver,123‑4567
505,Ivan,21,2021/01/05,ivan@example.com,75.5,Gold,123‑4567
506,Frank,63,2021-06-10,frank@example,,gold,
507,Charlie,39,2021-06-10,charlie@example.com,75.5,,345‑6789
508,Alice,65,2021/01/05,alice at example dot com,120.5,gold,345‑6789
509,David,25,,david at example dot com,300,Platinum,345‑6789
510,Ivan,51,2021-06-10,ivan at example dot com,0,Gold,
511,Charlie,36,2021-06-10,charlie at example dot com,0,Platinum,5678901
512,Ivan,65,,ivan@example.com,450.75,Gold,345‑6789
513,Grace,58,2021-06-10,grace at example dot com,20,silver,2345678
514,David,51,2021-06-10,david@example.com,20,,123‑4567
515,Charlie,66,2021-06-10,charlie@example,200,Gold,5678901
516,Jack,34,2020/12/31,jack at example dot com,-50,Gold,123‑4567
517,Eve,33,05-02-2021,eve@mail.com,300,Gold,345‑6789
518,Eve,40,,eve at example dot com,120.5,gold,5678901
519,Charlie,19,2021-06-10,charlie at example dot com,0,silver,4567890
520,Ivan,48,2020/12/31,ivan@example.com,450.75,gold,2345678
521,David,51,,david at example dot com,75.5,,345‑6789
522,Eve,54,2021/03/15,eve@mail.com,300,Gold,345‑6789
523,David,29,2021/03/15,david@example.com,200,silver,2345678
524,Eve,63,2021-06-10,eve@example.com,300,silver,2345678
525,Grace,41,2020/12/31,grace@example,200,Silver,4567890
526,Ivan,25,2020/12/31,ivan@example,0,,345‑6789
527,Grace,20,,grace at example dot com,-50,silver,
528,Eve,30,,eve@example,200,Gold,345‑6789
529,Jack,53,2020/12/31,jack@example,0,Gold,123‑4567
530,Jack,50,,jack@example,0,silver,5678901
531,Grace,27,2020/12/31,grace@example.com,-50,gold,5678901
532,Jack,57,05-02-2021,jack@example.com,20,,123‑4567
533,Eve,19,2020/12/31,eve@example.com,300,Gold,5678901
534,Charlie,44,2021/03/15,charlie@example,,silver,2345678
535,Grace,45,,grace@example.com,,Gold,5678901
536,Bob,25,2020/12/31,bob@example,75.5,silver,5678901
537,Ivan,19,2020/12/31,ivan@example.com,75.5,,123‑4567
538,Jack,41,,jack@example.com,,silver,4567890
539,Jack,50,05-02-2021,jack@mail.com,120.5,Silver,5678901
540,Alice,28,05-02-2021,alice at example dot com,,silver,
541,Frank,58,,frank@example,75.5,silver,5678901
542,Grace,25,2021/01/05,grace@mail.com,450.75,,4567890
543,Hannah,31,,hannah@example.com,75.5,silver,123‑4567
544,Jack,56,,jack@example,120.5,,4567890
545,Ivan,41,05-02-2021,ivan@example.com,300,Silver,123‑4567
546,Bob,21,05-02-2021,bob at example dot com,,,2345678
547,Jack,27,,jack@mail.com,-50,Gold,123‑4567
548,Bob,50,,bob at example dot com,450.75,,2345678
549,Eve,40,,eve@mail.com,0,Silver,2345678
550,Eve,31,05-02-2021,eve@example.com,120.5,Platinum,123‑4567
551,Frank,54,,frank at example dot com,75.5,silver,
552,Charlie,24,,charlie at example dot com,-50,,345‑6789
553,Hannah,21,2021-06-10,hannah@example.com,200,silver,123‑4567
554,Alice,64,2021/01/05,alice at example dot com,20,gold,5678901
555,Frank,42,2021/03/15,frank@example,,Gold,
556,David,34,2021/01/05,david@mail.com,20,Gold,
557,Alice,22,2021-06-10,alice@mail.com,120.5,gold,5678901
558,Grace,53,2021/03/15,grace@mail.com,200,gold,345‑6789
559,Ivan,64,,ivan@example,200,,
560,David,29,2021-06-10,david@mail.com,200,gold,2345678
561,David,44,,david@example.com,0,Platinum,345‑6789
562,Frank,21,05-02-2021,frank at example dot com,120.5,silver,5678901
563,Charlie,29,2020/12/31,charlie@example,300,silver,345‑6789
564,Frank,33,2021-06-10,frank@mail.com,20,Silver,123‑4567
565,Grace,66,05-02-2021,grace@example.com,300,gold,345‑6789
566,Jack,56,2021-06-10,jack at example dot com,-50,gold,2345678
567,Jack,61,2021-06-10,jack at example dot com,450.75,Platinum,123‑4567
568,Charlie,48,05-02-2021,charlie@example,450.75,Gold,4567890
569,Grace,45,2021/03/15,grace@example,300,Gold,5678901
570,Charlie,67,2021/01/05,charlie@example,,silver,5678901
571,Bob,19,,bob@example.com,-50,silver,345‑6789
572,Jack,56,2021-06-10,jack@example.com,120.5,,
573,David,50,,david@example,75.5,Platinum,123‑4567
574,Hannah,56,2020/12/31,hannah@mail.com,450.75,Silver,4567890
575,Ivan,43,05-02-2021,ivan at example dot com,75.5,Silver,123‑4567
576,Grace,29,,grace at example dot com,-50,Platinum,5678901
577,Alice,61,05-02-2021,alice@example.com,20,Silver,123‑4567
578,Charlie,49,,charlie at example dot com,450.75,Gold,4567890
579,Ivan,22,2021/01/05,ivan@mail.com,,Silver,
580,Alice,40,2021/01/05,alice at example dot com,,Silver,345‑6789
581,Ivan,35,2021/01/05,ivan@example.com,200,Platinum,2345678
582,Hannah,32,2021/01/05,hannah@example.com,0,Platinum,123‑4567
583,Alice,56,2021/01/05,alice@mail.com,-50,Silver,2345678
584,Frank,44,2021/01/05,frank@mail.com,450.75,gold,5678901
585,Eve,49,05-02-2021,eve at example dot com,0,Platinum,345‑6789
586,Frank,64,2021-06-10,frank at example dot com,-50,,345‑6789
587,Jack,57,,jack@example.com,300,,123‑4567
588,Eve,29,2021/01/05,eve@mail.com,120.5,Gold,
589,Frank,59,05-02-2021,frank@mail.com,120.5,Silver,345‑6789
590,Eve,61,05-02-2021,eve@mail.com,200,gold,123‑4567
591,Eve,41,05-02-2021,eve at example dot com,200,Gold,123‑4567
592,David,69,2021-06-10,david@mail.com,120.5,Silver,2345678
593,Charlie,58,,charlie@example.com,20,Platinum,345‑6789
594,Charlie,52,2021-06-10,charlie@example.com,450.75,,123‑4567
595,David,43,2021/03/15,david at example dot com,120.5,silver,2345678
596,Ivan,54,05-02-2021,ivan@example,20,gold,4567890
597,Bob,23,2021/03/15,bob at example dot com,0,silver,2345678
598,Ivan,21,2020/12/31,ivan@example,20,,2345678
599,Alice,59,2021/01/05,alice@mail.com,0,silver,123‑4567
600,Alice,61,2021/01/05,alice at example dot com,-50,Platinum,5678901
601,Eve,67,2021-06-10,eve@example.com,75.5,Silver,5678901
602,Frank,47,,frank@mail.com,-50,Platinum,
603,Frank,39,2021/03/15,frank@example.com,120.5,silver,5678901
604,Charlie,58,,charlie@mail.com,0,Platinum,2345678
605,Grace,26,2021-06-10,grace at example dot com,120.5,,
606,Ivan,48,2021/01/05,ivan@example,450.75,gold,123‑4567
607,Jack,59,,jack@mail.com,,Platinum,345‑6789
608,Hannah,69,,hannah@example,120.5,,2345678
609,Frank,46,2021/01/05,frank@mail.com,450.75,gold,2345678
610,Hannah,55,2021/03/15,hannah@example.com,20,Silver,
611,Eve,47,2021/01/05,eve@example.com,-50,silver,123‑4567
612,Hannah,34,,hannah@mail.com,20,Silver,4567890
613,Jack,52,2021/03/15,jack@example,,Gold,2345678
614,David,18,2021/03/15,david at example dot com,0,,4567890
615,Jack,30,2021/01/05,jack at example dot com,450.75,gold,4567890
616,Hannah,29,,hannah@example.com,75.5,Platinum,5678901
617,Jack,45,2021-06-10,jack at example dot com,120.5,Silver,123‑4567
618,Bob,28,,bob@example.com,0,gold,4567890
619,Eve,55,05-02-2021,eve at example dot com,75.5,,123‑4567
620,Ivan,18,2020/12/31,ivan@mail.com,300,Gold,5678901
621,David,48,2021-06-10,david@example.com,120.5,Silver,123‑4567
622,Frank,29,2021/03/15,frank@example.com,20,silver,2345678
623,Alice,62,2021-06-10,alice@mail.com,-50,gold,4567890
624,Ivan,43,2021/03/15,ivan@example.com,450.75,silver,123‑4567
625,Alice,65,2021/03/15,alice at example dot com,,gold,345‑6789
626,Eve,57,2021-06-10,eve at example dot com,,gold,123‑4567
627,David,33,2021/03/15,david@example.com,20,,4567890
628,Charlie,56,2021/03/15,charlie at example dot com,200,,5678901
629,Frank,47,05-02-2021,frank@example,,,5678901
630,Bob,50,,bob@example.com,450.75,Platinum,4567890
631,Charlie,40,,charlie@mail.com,20,gold,2345678
632,Eve,61,2020/12/31,eve@example,0,Silver,2345678
633,Ivan,51,2020/12/31,ivan@example.com,,silver,5678901
634,Bob,64,05-02-2021,bob@mail.com,20,,5678901
635,Jack,22,2020/12/31,jack at example dot com,450.75,,4567890
636,Hannah,35,2021-06-10,hannah@mail.com,120.5,silver,2345678
637,Bob,46,2021/01/05,bob@example,120.5,silver,5678901
638,Eve,23,2021/01/05,eve at example dot com,,gold,2345678
639,Grace,26,2021/01/05,grace@example.com,-50,,5678901
640,Hannah,57,05-02-2021,hannah at example dot com,120.5,silver,123‑4567
641,Alice,48,05-02-2021,alice@example.com,-50,Platinum,345‑6789
642,Frank,50,2021/03/15,frank@example.com,0,Platinum,
643,Alice,44,2021/01/05,alice@mail.com,20,,123‑4567
644,Bob,31,2021-06-10,bob@mail.com,75.5,silver,
645,Alice,46,2020/12/31,alice@mail.com,450.75,gold,5678901
646,Eve,53,2021-06-10,eve@example,20,gold,345‑6789
647,Jack,45,2020/12/31,jack@example,450.75,gold,345‑6789
648,Ivan,38,2021/01/05,ivan@mail.com,0,Gold,5678901
649,Frank,20,2021/01/05,frank@example,300,,5678901
650,Alice,36,2021/01/05,alice at example dot com,,gold,2345678
651,Alice,48,05-02-2021,alice at example dot com,450.75,Platinum,5678901
652,Bob,52,2020/12/31,bob@example,450.75,silver,4567890
653,Ivan,66,05-02-2021,ivan@example,-50,Silver,5678901
654,Charlie,20,05-02-2021,charlie at example dot com,20,Silver,4567890
655,Alice,43,,alice@example.com,300,gold,5678901
656,Eve,33,2021-06-10,eve at example dot com,200,Silver,2345678
657,Grace,28,2021-06-10,grace at example dot com,,Silver,4567890
658,Frank,38,2021/03/15,frank@example,75.5,Gold,123‑4567
659,Alice,33,05-02-2021,alice at example dot com,200,Platinum,4567890
660,Eve,26,2020/12/31,eve@example,20,Platinum,2345678
661,Eve,,,eve@example,,Gold,
662,Frank,38,,frank@mail.com,450.75,Gold,4567890
663,Charlie,42,2021-06-10,charlie at example dot com,75.5,Silver,5678901
664,Eve,34,05-02-2021,eve@example.com,-50,,5678901
665,Grace,66,2021/03/15,grace@mail.com,300,silver,
666,Eve,30,05-02-2021,eve@example,-50,silver,2345678
667,Eve,63,2021/01/05,eve@example,0,Silver,345‑6789
668,Eve,45,05-02-2021,eve@example.com,,silver,5678901
669,Jack,28,2021/01/05,jack@example,-50,Gold,123‑4567
670,Jack,52,2021/01/05,jack at example dot com,200,Platinum,2345678
671,Charlie,51,2021/03/15,charlie@mail.com,-50,silver,4567890
672,Alice,68,2020/12/31,alice@example,120.5,Silver,4567890
673,Eve,28,2021-06-10,eve@example,0,,123‑4567
674,Ivan,23,05-02-2021,ivan@example.com,20,Silver,5678901
675,Alice,45,2021/01/05,alice at example dot com,300,gold,2345678
676,Charlie,27,05-02-2021,charlie@example,0,Silver,123‑4567
677,David,49,2020/12/31,david@example.com,120.5,Gold,5678901
678,Alice,22,2021-06-10,alice@example,,Platinum,2345678
679,Alice,63,2020/12/31,alice@example.com,200,Platinum,4567890
680,Hannah,31,2021-06-10,hannah@example.com,300,silver,2345678
681,Bob,48,,bob at example dot com,300,Gold,
682,Hannah,67,2021-06-10,hannah@example,0,gold,345‑6789
683,Grace,27,2021/03/15,grace at example dot com,,Gold,2345678
684,Jack,39,2020/12/31,jack@example.com,450.75,Silver,345‑6789
685,Jack,42,2021/01/05,jack@mail.com,120.5,Gold,2345678
686,Bob,50,,bob@example,450.75,Gold,345‑6789
687,Frank,62,2021/03/15,frank@mail.com,200,gold,
688,Frank,50,05-02-2021,frank@example,,Silver,4567890
689,Charlie,45,2020/12/31,charlie at example dot com,,,5678901
690,Bob,20,2021/01/05,bob at example dot com,120.5,,345‑6789
691,Alice,33,2021-06-10,alice at example dot com,75.5,Platinum,
692,Frank,51,2021/01/05,frank at example dot com,450.75,silver,345‑6789
693,Eve,29,05-02-2021,eve at example dot com,-50,Gold,4567890
694,Ivan,57,,ivan@mail.com,300,Platinum,345‑6789
695,Alice,55,,alice at example dot com,75.5,gold,
696,Grace,31,2020/12/31,grace@example.com,-50,,
697,Eve,45,,eve@example.com,120.5,Gold,123‑4567
698,Eve,45,2020/12/31,eve@mail.com,300,gold,4567890
699,Bob,27,2020/12/31,bob@example,20,silver,123‑4567
700,Charlie,68,2020/12/31,charlie@example.com,-50,gold,4567890
701,Grace,48,2021-06-10,grace@example,75.5,Gold,345‑6789
702,Frank,18,2021/03/15,frank@mail.com,-50,silver,
703,Bob,63,2020/12/31,bob@example,-50,gold,123‑4567
704,Frank,30,2020/12/31,frank@example,120.5,silver,345‑6789
705,Bob,36,2021/03/15,bob@example,450.75,Gold,
706,Bob,38,2021/01/05,bob@example,20,Gold,4567890
707,Bob,27,2020/12/31,bob@mail.com,120.5,silver,
708,Charlie,43,2021-06-10,charlie@example.com,200,Silver,345‑6789
709,Bob,19,,bob at example dot com,120.5,Platinum,123‑4567
710,David,33,,david@example,300,gold,123‑4567
711,Ivan,60,05-02-2021,ivan@example.com,20,gold,
712,Frank,44,05-02-2021,frank@example.com,,Silver,345‑6789
713,Alice,45,,alice@mail.com,200,Silver,2345678
714,Hannah,37,,hannah@example.com,0,Silver,4567890
715,Grace,63,2021-06-10,grace@mail.com,120.5,,4567890
716,Jack,32,2021/03/15,jack@example,-50,,345‑6789
717,Charlie,53,05-02-2021,charlie@example,450.75,silver,2345678
718,Alice,36,2021/03/15,alice at example dot com,,,123‑4567
719,Eve,22,2021-06-10,eve at example dot com,120.5,Gold,5678901
720,David,35,,david at example dot com,120.5,silver,5678901
721,Jack,21,2020/12/31,jack@example.com,75.5,gold,345‑6789
722,Hannah,19,2021/03/15,hannah@example,75.5,Platinum,2345678
723,Alice,,,alice@mail.com,,Gold,2345678
724,Jack,54,,jack at example dot com,75.5,gold,4567890
725,Alice,31,2021/01/05,alice@mail.com,-50,gold,123‑4567
726,David,50,2021/03/15,david@mail.com,200,silver,
727,Hannah,51,2020/12/31,hannah at example dot com,0,Silver,2345678
728,Eve,65,2021/03/15,eve@example,20,Silver,
729,Bob,41,,bob at example dot com,0,Gold,5678901
730,Frank,40,2020/12/31,frank@mail.com,0,Silver,
731,Eve,28,2021-06-10,eve at example dot com,20,gold,123‑4567
732,Bob,34,2021/01/05,bob@mail.com,75.5,Silver,123‑4567
733,Charlie,31,,charlie@mail.com,,,
734,Ivan,60,05-02-2021,ivan at example dot com,20,Silver,345‑6789
735,Grace,32,05-02-2021,grace@example.com,300,gold,2345678
736,Grace,43,2021/01/05,grace at example dot com,200,silver,345‑6789
737,Frank,24,2021-06-10,frank@example.com,450.75,Gold,
738,Hannah,62,,hannah@mail.com,75.5,Platinum,2345678
739,David,41,2021/03/15,david@mail.com,20,Silver,4567890
740,Hannah,33,2021/01/05,hannah@example.com,300,gold,345‑6789
741,David,45,2021-06-10,david@mail.com,450.75,Platinum,345‑6789
742,Hannah,69,2021/03/15,hannah@example.com,200,Platinum,
743,Ivan,24,05-02-2021,ivan@example.com,200,,5678901
744,Charlie,31,05-02-2021,charlie@mail.com,75.5,Platinum,
745,Charlie,43,2021/03/15,charlie@example,20,silver,345‑6789
746,Bob,62,2021/01/05,bob@example.com,,gold,2345678
747,Jack,66,05-02-2021,jack at example dot com,200,gold,5678901
748,Charlie,68,,charlie at example dot com,,Silver,
749,Charlie,23,2020/12/31,charlie@mail.com,,Silver,
750,Eve,19,2021/03/15,eve@example,75.5,Silver,345‑6789
751,Eve,45,2021/03/15,eve@mail.com,450.75,silver,345‑6789
752,Bob,60,05-02-2021,bob@example,120.5,Platinum,4567890
753,Jack,69,2021/01/05,jack@example.com,0,Platinum,
754,Frank,40,,frank@example.com,0,,345‑6789
755,Eve,19,2021/01/05,eve@example.com,200,silver,123‑4567
756,Frank,36,2021-06-10,frank@example.com,120.5,Silver,5678901
757,Alice,62,2021-06-10,alice at example dot com,450.75,Gold,123‑4567
758,Eve,31,2020/12/31,eve at example dot com,120.5,,5678901
759,Ivan,41,05-02-2021,ivan@mail.com,75.5,Gold,
760,Jack,46,05-02-2021,jack@example,200,Platinum,4567890
761,Bob,30,05-02-2021,bob@example.com,,,345‑6789
762,Alice,23,2020/12/31,alice@example.com,200,,345‑6789
763,Jack,33,2021-06-10,jack@example,0,gold,345‑6789
764,Ivan,60,2021/01/05,ivan@example,450.75,Platinum,
765,Jack,36,2020/12/31,jack@mail.com,120.5,Platinum,5678901
766,Ivan,52,2020/12/31,ivan@example,450.75,silver,345‑6789
767,Ivan,25,2021/01/05,ivan@example.com,75.5,,123‑4567
768,Frank,54,05-02-2021,frank@example.com,200,Platinum,345‑6789
769,Hannah,64,,hannah@example.com,20,,
770,Alice,38,2021/01/05,alice@example.com,200,silver,4567890
771,Jack,69,2021-06-10,jack@example.com,,silver,123‑4567
772,David,69,2021/03/15,david@mail.com,200,gold,345‑6789
773,Alice,18,2021/03/15,alice@example.com,300,,345‑6789
774,Hannah,40,2020/12/31,hannah@mail.com,75.5,Platinum,2345678
775,Alice,24,2021/03/15,alice@example.com,-50,Platinum,5678901
776,Charlie,27,,charlie at example dot com,75.5,,123‑4567
777,David,29,05-02-2021,david at example dot com,120.5,,2345678
778,Hannah,33,2021-06-10,hannah at example dot com,-50,,4567890
779,Frank,24,,frank at example dot com,120.5,Silver,5678901
780,Jack,37,2021-06-10,jack@mail.com,120.5,Platinum,123‑4567
781,Grace,34,2021-06-10,grace@mail.com,,silver,345‑6789
782,Hannah,46,05-02-2021,hannah@example,,Platinum,123‑4567
783,Bob,34,2020/12/31,bob@example.com,0,Silver,345‑6789
784,Jack,62,2021/03/15,jack at example dot com,0,,5678901
785,Hannah,63,05-02-2021,hannah@mail.com,20,gold,345‑6789
786,Charlie,47,,charlie@example.com,-50,,4567890
787,Grace,54,2020/12/31,grace@example.com,450.75,,
788,Charlie,48,,charlie@mail.com,200,Silver,345‑6789
789,Grace,27,2020/12/31,grace at example dot com,200,Platinum,4567890
790,Bob,61,,bob@example,120.5,,
791,Jack,41,05-02-2021,jack@example.com,0,Platinum,5678901
792,Frank,49,2020/12/31,frank@example,120.5,Gold,5678901
793,Charlie,54,2020/12/31,charlie at example dot com,300,silver,123‑4567
794,Charlie,57,2021-06-10,charlie at example dot com,300,Platinum,4567890
795,Ivan,24,2021-06-10,ivan@example,450.75,gold,4567890
796,Grace,27,2021/01/05,grace at example dot com,,silver,2345678
797,Eve,38,,eve@example.com,,gold,2345678
798,Jack,67,2021-06-10,jack@example,0,,
799,Grace,40,2021/01/05,grace at example dot com,0,silver,
800,Ivan,57,2021-06-10,ivan@example,300,Platinum,2345678
801,Alice,33,,alice@example.com,,silver,
802,Grace,28,2020/12/31,grace at example dot com,-50,,345‑6789
803,Frank,62,2021/03/15,frank@example.com,-50,Silver,2345678
804,Jack,48,,jack at example dot com,0,gold,4567890
805,Ivan,31,05-02-2021,ivan@mail.com,120.5,,345‑6789
806,Alice,32,2021-06-10,alice at example dot com,,Silver,
807,David,38,2021-06-10,david@example,-50,silver,5678901
808,Ivan,44,2020/12/31,ivan at example dot com,,silver,123‑4567
809,David,36,05-02-2021,david@example.com,75.5,,2345678
810,Jack,49,2020/12/31,jack@example.com,200,Platinum,5678901
811,Charlie,26,05-02-2021,charlie at example dot com,300,silver,
812,Ivan,56,2021/03/15,ivan@example,,Platinum,4567890
813,Bob,48,2021-06-10,bob@mail.com,200,Platinum,123‑4567
814,David,66,2021-06-10,david@example,75.5,Platinum,5678901
815,Frank,49,2021/03/15,frank@mail.com,,Gold,123‑4567
816,Bob,18,2021/01/05,bob@example.com,0,Silver,2345678
817,Hannah,49,2020/12/31,hannah@example,200,Silver,
818,Hannah,49,2021/03/15,hannah@mail.com,,silver,4567890
819,Alice,57,2020/12/31,alice at example dot com,200,silver,
820,Charlie,29,,charlie@example.com,75.5,Platinum,123‑4567
821,Jack,46,2021-06-10,jack at example dot com,,Gold,5678901
822,Ivan,49,2020/12/31,ivan@example.com,,Platinum,2345678
823,Eve,29,05-02-2021,eve@example,,Gold,2345678
824,Frank,68,2020/12/31,frank@example,450.75,Platinum,
825,David,42,,david@example.com,0,gold,5678901
826,Jack,38,2021-06-10,jack@example.com,75.5,gold,5678901
827,Bob,55,2021/03/15,bob@example.com,450.75,,123‑4567
828,Hannah,18,,hannah@example,120.5,Platinum,
829,Frank,54,2021-06-10,frank@mail.com,450.75,silver,
830,Eve,55,2020/12/31,eve at example dot com,300,Silver,345‑6789
831,Ivan,42,2021/01/05,ivan at example dot com,300,,
832,Alice,62,2021/01/05,alice@example,,silver,2345678
833,Eve,66,05-02-2021,eve at example dot com,450.75,gold,123‑4567
834,Frank,31,2021-06-10,frank@example.com,120.5,Platinum,5678901
835,Eve,50,2021/01/05,eve@mail.com,450.75,,
836,Frank,58,2021/03/15,frank at example dot com,0,Platinum,123‑4567
837,Frank,60,2021-06-10,frank@mail.com,0,gold,
838,Grace,65,2021/03/15,grace@example.com,120.5,,5678901
839,David,56,2021/03/15,david at example dot com,450.75,gold,4567890
840,Hannah,27,2021/01/05,hannah@example,200,Gold,5678901
841,Grace,19,2021-06-10,grace@mail.com,0,gold,5678901
842,Ivan,22,2020/12/31,ivan@example.com,0,Platinum,5678901
843,Grace,25,,grace@mail.com,-50,Silver,
844,Charlie,22,2021/01/05,charlie at example dot com,450.75,gold,345‑6789
845,Charlie,25,2021/01/05,charlie at example dot com,0,silver,5678901
846,Hannah,55,2020/12/31,hannah@example,75.5,Silver,2345678
847,Eve,47,2021-06-10,eve@example.com,450.75,Gold,2345678
848,David,48,2021-06-10,david@example.com,300,,123‑4567
849,Hannah,57,2021/03/15,hannah@example,-50,,345‑6789
850,Frank,66,2020/12/31,frank@example,0,Silver,123‑4567
851,Bob,28,2020/12/31,bob@example.com,-50,,2345678
852,David,24,2021-06-10,david@mail.com,300,gold,2345678
853,David,24,2021/03/15,david@mail.com,120.5,Silver,4567890
854,Frank,66,2021/01/05,frank@example,120.5,Platinum,5678901
855,Frank,44,05-02-2021,frank@mail.com,450.75,gold,2345678
856,Alice,36,,alice@example.com,300,gold,
857,Hannah,63,2021/01/05,hannah at example dot com,20,gold,
858,Frank,23,2021-06-10,frank at example dot com,20,Platinum,123‑4567
859,Charlie,27,,charlie@mail.com,450.75,Gold,123‑4567
860,Ivan,36,05-02-2021,ivan@example,,silver,5678901
861,Bob,32,05-02-2021,bob@example,-50,,5678901
862,Hannah,20,2021/03/15,hannah@example,-50,Silver,4567890
863,Jack,22,,jack@example,120.5,Gold,345‑6789
864,Charlie,38,2021/03/15,charlie@example,20,Silver,123‑4567
865,Eve,42,2021/01/05,eve@mail.com,0,,5678901
866,Frank,19,2020/12/31,frank at example dot com,0,Platinum,123‑4567
867,Jack,57,2020/12/31,jack at example dot com,0,gold,5678901
868,Frank,58,2020/12/31,frank@mail.com,120.5,gold,2345678
869,David,30,,david@example,300,Platinum,123‑4567
870,Charlie,27,2020/12/31,charlie@mail.com,200,Gold,2345678
871,David,34,2021/01/05,david at example dot com,20,Gold,123‑4567
872,Alice,28,2021/03/15,alice@example.com,20,Silver,345‑6789
873,David,39,,david@mail.com,-50,Platinum,4567890
874,Alice,28,2021/03/15,alice@example,,Gold,
875,Alice,29,,alice at example dot com,450.75,Platinum,
876,Jack,41,2021/03/15,jack at example dot com,-50,,
877,Frank,61,05-02-2021,frank at example dot com,300,gold,2345678
878,Eve,67,2021/03/15,eve at example dot com,450.75,gold,5678901
879,David,35,2020/12/31,david@example,20,gold,
880,Charlie,62,05-02-2021,charlie@example.com,300,Platinum,345‑6789
881,Alice,52,2021/03/15,alice at example dot com,450.75,Platinum,
882,Frank,61,,frank@mail.com,75.5,Silver,123‑4567
883,Bob,24,,bob@example.com,200,gold,2345678
884,Hannah,45,,hannah at example dot com,20,Silver,123‑4567
885,Jack,69,2021-06-10,jack@example.com,,gold,123‑4567
886,Eve,48,2021/01/05,eve@mail.com,0,Silver,123‑4567
887,Grace,67,,grace at example dot com,75.5,Silver,4567890
888,Jack,60,05-02-2021,jack@mail.com,0,,4567890
889,Bob,34,,bob@example,200,Silver,5678901
890,Hannah,22,2021-06-10,hannah at example dot com,450.75,Platinum,2345678
